id	url	title	town	area	description	NRIS_no	nara_cat	long-lat
LC_HABS_HAER_il0400	https://www.loc.gov/item/il0400	Jansonist Colony, Carriage & Wagon Shop, Bishop Hill Street, Bishop Hill, Henry County, IL	Bishop Hill,  Henry County,  IL	Henry County,  IL	HABS IL-169-E ;<br> Building/structure dates: after 1840 Initial Construction ;<br> National Register of Historic Places NRIS Number: 70000244	70000244	https://catalog.archives.gov/id/70000244	-90.118639, 41.200857
LC_HABS_HAER_il0323	https://www.loc.gov/item/il0323	Edith Farnsworth House, 14520 River Road, Plano, Kendall County, IL	Plano,  Kendall County,  IL	Kendall County,  IL	HABS IL-1105 ;<br> Building/structure dates: 1949-1951 Initial Construction ;<br> National Register of Historic Places NRIS Number: 04000867	04000867	https://catalog.archives.gov/id/04000867	-88.53574, 41.63502
LC_HABS_HAER_il0740	https://www.loc.gov/item/il0740	Susan Lawrence Dana House, 301 East Lawrence Avenue, Springfield, Sangamon County, IL	Springfield,  Sangamon County,  IL	Sangamon County,  IL	HABS IL-1188 ;<br> Building/structure dates: 1904 Initial Construction ;<br> Building/structure dates: after 1944 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 74000774	74000774	https://catalog.archives.gov/id/74000774	-89.651538, 39.794056
LC_HABS_HAER_in0561	https://www.loc.gov/item/in0561	Samara House, 1301 Woodland Avenue, West Lafayette, Tippecanoe County, IN	West Lafayette,  Tippecanoe County,  IN	Tippecanoe County,  IN	HABS IN-247 ;<br> Building/structure dates: 1956 Initial Construction ;<br> National Register of Historic Places NRIS Number: 92000679	92000679	https://catalog.archives.gov/id/92000679	-86.916583, 40.438585
LC_HABS_HAER_in0585	https://www.loc.gov/item/in0585	J. Irwin and Xenia Miller House, 2860 Washington Street, Columbus, Bartholomew County, IN	Columbus,  Bartholomew County,  IN	Bartholomew County,  IN	HABS IN-249 ;<br> Building/structure dates: after 1952 Initial Construction ;<br> National Register of Historic Places NRIS Number: 00000706	00000706	https://catalog.archives.gov/id/00000706	-85.922865, 39.22719
LC_HABS_HAER_in0474	https://www.loc.gov/item/in0474	National Home for Disabled Volunteer Soldiers, Marion Branch, 1700 East 38th Street, Marion, Grant County, IN	Marion,  Grant County,  IN	Grant County,  IN	HABS IN-306 ;<br> Building/structure dates: 1889-1891 Initial Construction ;<br> Building/structure dates: 1892-1902 Subsequent Work ;<br> Building/structure dates: 1920-1921 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 99000833	99000833	https://catalog.archives.gov/id/99000833	-85.634819, 40.521096
LC_HABS_HAER_in0475	https://www.loc.gov/item/in0475	National Home for Disabled Volunteer Soldiers, Marion Branch, Building Nos. 19 & 20, 1700 East 38th Street, Marion, Grant County, IN	Marion,  Grant County,  IN	Grant County,  IN	HABS IN-306-A ;<br> Building/structure dates: 1890-1891 Initial Construction ;<br> Building/structure dates: 1920-1921 Subsequent Work ;<br> Building/structure dates: 2012 Demolished ;<br> National Register of Historic Places NRIS Number: 99000833	99000833	https://catalog.archives.gov/id/99000833	-85.63334, 40.520881
LC_HABS_HAER_in0501	https://www.loc.gov/item/in0501	National Home for Disabled Volunteer Soldiers, Marion Branch, Building No. 24, 1700 East 38th Street, Marion, Grant County, IN	Marion,  Grant County,  IN	Grant County,  IN	HABS IN-306-AA ;<br> Building/structure dates: 1895-1896 Initial Construction ;<br> Building/structure dates: 1920-1921 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 99000833	99000833	https://catalog.archives.gov/id/99000833	-85.631962, 40.520539
LC_HABS_HAER_in0504	https://www.loc.gov/item/in0504	National Home for Disabled Volunteer Soldiers, Marion Branch, Building No. 7, 1700 East 38th Street, Marion, Grant County, IN	Marion,  Grant County,  IN	Grant County,  IN	HABS IN-306-AD ;<br> Building/structure dates: 1895-1896 Initial Construction ;<br> Building/structure dates: 1920-1921 Subsequent Work ;<br> Building/structure dates: ca. 1976 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 99000833	99000833	https://catalog.archives.gov/id/99000833	-85.632954, 40.311106
LC_HABS_HAER_in0509	https://www.loc.gov/item/in0509	National Home for Disabled Volunteer Soldiers, Marion Branch, Building No. 60, 1700 East 38th Street, Marion, Grant County, IN	Marion,  Grant County,  IN	Grant County,  IN	HABS IN-306-AI ;<br> Building/structure dates: ca. 1891 Initial Construction ;<br> Building/structure dates: 1909 Subsequent Work ;<br> Building/structure dates: 1920-1921 Subsequent Work ;<br> Building/structure dates: 1934 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 99000833	99000833	https://catalog.archives.gov/id/99000833	-85.632815, 40.519918
LC_HABS_HAER_in0476	https://www.loc.gov/item/in0476	National Home for Disabled Volunteer Soldiers, Marion Branch, Building No. 21, 1700 East 38th Street, Marion, Grant County, IN	Marion,  Grant County,  IN	Grant County,  IN	HABS IN-306-B ;<br> Building/structure dates: 1892-1893 Initial Construction ;<br> Building/structure dates: 1920-1921 Subsequent Work ;<br> Building/structure dates: 2012 Demolished ;<br> National Register of Historic Places NRIS Number: 99000833	99000833	https://catalog.archives.gov/id/99000833	-85.633471, 40.521312
LC_HABS_HAER_in0477	https://www.loc.gov/item/in0477	National Home for Disabled Volunteer Soldiers, Marion Branch, Building No. 22, 1700 East 38th Street, Marion, Grant County, IN	Marion,  Grant County,  IN	Grant County,  IN	HABS IN-306-C ;<br> Building/structure dates: 1890-1891 Initial Construction ;<br> Building/structure dates: 1920-1921 Subsequent Work ;<br> Building/structure dates: 2012 Demolished ;<br> National Register of Historic Places NRIS Number: 99000833	99000833	https://catalog.archives.gov/id/99000833	-85.633027, 40.520484
LC_HABS_HAER_in0478	https://www.loc.gov/item/in0478	National Home for Disabled Volunteer Soldiers, Marion Branch, Building No. 34, 1700 East 38th Street, Marion, Grant County, IN	Marion,  Grant County,  IN	Grant County,  IN	HABS IN-306-D ;<br> Building/structure dates: 1896 Initial Construction ;<br> National Register of Historic Places NRIS Number: 99000833	99000833	https://catalog.archives.gov/id/99000833	-85.634571, 40.522422
LC_HABS_HAER_in0492	https://www.loc.gov/item/in0492	National Home for Disabled Volunteer Soldiers, Marion Branch, Building No. 25, 1700 East 38th Street, Marion, Grant County, IN	Marion,  Grant County,  IN	Grant County,  IN	HABS IN-306-R ;<br> Building/structure dates: 1929-1930 Initial Construction ;<br> National Register of Historic Places NRIS Number: 99000833	99000833	https://catalog.archives.gov/id/99000833	-85.375571, 40.311528
LC_HABS_HAER_in0495	https://www.loc.gov/item/in0495	National Home for Disabled Volunteer Soldiers, Marion Branch, Building No. 62, 1700 East 38th Street, Marion, Grant County, IN	Marion,  Grant County,  IN	Grant County,  IN	HABS IN-306-U ;<br> Building/structure dates: ca. 1895- ca. 1899 Initial Construction ;<br> Building/structure dates: 1905 Subsequent Work ;<br> Building/structure dates: 2012 Demolished ;<br> National Register of Historic Places NRIS Number: 99000833	99000833	https://catalog.archives.gov/id/99000833	-85.632476, 40.521584
LC_HABS_HAER_in0525	https://www.loc.gov/item/in0525	Aaron Swayzee House, 224 North Washington Street, Marion, Grant County, IN	Marion,  Grant County,  IN	Grant County,  IN	HABS IN-310 ;<br> Building/structure dates: ca. 1855 Initial Construction ;<br> National Register of Historic Places NRIS Number: 83000124	83000124	https://catalog.archives.gov/id/83000124	-85.658875, 40.563999
LC_HABS_HAER_in0526	https://www.loc.gov/item/in0526	Wabash County Courthouse, 1 West Hill Street, Wabash, Wabash County, IN	Wabash,  Wabash County,  IN	Wabash County,  IN	HABS IN-311 ;<br> Building/structure dates: 1878 Initial Construction ;<br> National Register of Historic Places NRIS Number: 86001678	86001678	https://catalog.archives.gov/id/86001678	-85.821412, 40.798297
LC_HABS_HAER_in0527	https://www.loc.gov/item/in0527	J. Woodrow Wilson House, 723 West 4th Street, Marion, Grant County, IN	Marion,  Grant County,  IN	Grant County,  IN	HABS IN-312 ;<br> Building/structure dates: 1916 Initial Construction ;<br> National Register of Historic Places NRIS Number: 88001218	88001218	https://catalog.archives.gov/id/88001218	-85.667817, 40.557552
LC_HABS_HAER_in0529	https://www.loc.gov/item/in0529	Marion Public Library, 600 South Washington Street, Marion, Grant County, IN	Marion,  Grant County,  IN	Grant County,  IN	HABS IN-314 ;<br> Building/structure dates: ca. 1902 Initial Construction ;<br> Building/structure dates: ca. 1990 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 94000226	94000226	https://catalog.archives.gov/id/94000226	-85.660155, 40.555874
LC_HABS_HAER_in0555	https://www.loc.gov/item/in0555	Oldfields, Single Cottage, 4200 North Michigan Road, Indianapolis, Marion County, IN	Indianapolis,  Marion County,  IN	Marion County,  IN	HABS IN-320-A ;<br> Building/structure dates: ca. 1913- ca. 1919 Initial Construction ;<br> Building/structure dates: after 1920 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 03001041	03001041	https://catalog.archives.gov/id/03001041	-86.184095, 39.830751
LC_HABS_HAER_in0563	https://www.loc.gov/item/in0563	Oldfields, Canal Pump House, 4000 North Michigan Road, Indianapolis, Marion County, IN	Indianapolis,  Marion County,  IN	Marion County,  IN	HABS IN-320-B ;<br> Building/structure dates: ca. 1919 Initial Construction ;<br> National Register of Historic Places NRIS Number: 03001041	03001041	https://catalog.archives.gov/id/03001041	-86.184806, 39.82975
LC_HABS_HAER_in0576	https://www.loc.gov/item/in0576	Oldfields, Woodstock Bridge, 4000 North Michigan Road, Indianapolis, Marion County, IN	Indianapolis,  Marion County,  IN	Marion County,  IN	HABS IN-320-D ;<br> Building/structure dates: 1909 Initial Construction ;<br> National Register of Historic Places NRIS Number: 03001041	03001041	https://catalog.archives.gov/id/03001041	-86.18508333333334, 39.826861111111114
LC_HABS_HAER_in0568	https://www.loc.gov/item/in0568	Elston Grove Historic District, Bounded by East 11th, Pine, and East 6th Streets, and Michigan Boulevard, Michigan City, La Porte County, IN	Michigan City,  La Porte County,  IN	La Porte County,  IN	HABS IN-322 ;<br> Building/structure dates: ca. 1874- 1908 Initial Construction ;<br> National Register of Historic Places NRIS Number: 13000759	13000759	https://catalog.archives.gov/id/13000759	-86.887056, 41.713041
LC_HABS_HAER_in0570	https://www.loc.gov/item/in0570	Franklin Street Commercial Historic District, Bounded by 4th, Franklin, 11th, and Pine Streets, Michigan City, La Porte County, IN	Michigan City,  La Porte County,  IN	La Porte County,  IN	HABS IN-324 ;<br> Building/structure dates: ca. 1880- 1927 Initial Construction ;<br> National Register of Historic Places NRIS Number: 13001013	13001013	https://catalog.archives.gov/id/13001013	-86.902364, 41.718368
LC_HABS_HAER_in0571	https://www.loc.gov/item/in0571	South Shore Station, 114 East 11th Street, Michigan City, La Porte County, IN	Michigan City,  La Porte County,  IN	La Porte County,  IN	HABS IN-325 ;<br> Building/structure dates: 1926 Initial Construction ;<br> Building/structure dates: 1976 Subsequent Work ;<br> Building/structure dates: 1970 Subsequent Work ;<br> Building/structure dates: 1927-1930 Demolished ;<br> National Register of Historic Places NRIS Number: 13001013	13001013	https://catalog.archives.gov/id/13001013	-86.898248, 41.711833
LC_HABS_HAER_in0132	https://www.loc.gov/item/in0132	Whitewater Canal Aqueduct, Spanning Duck Creek, Whitewater Canal (carried over creek)  (Changed from Duck Creek), Metamora, Franklin County, IN	Metamora,  Franklin County,  IN	Franklin County,  IN	HABS IN-24-20 ;<br> Building/structure dates: ca. 1848 Initial Construction ;<br> Building/structure dates: 1868 Subsequent Work ;<br> Building/structure dates: 1901 Subsequent Work ;<br> Building/structure dates: 1947 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 92001646	92001646	https://catalog.archives.gov/id/92001646	-85.13008, 39.44814
LC_HABS_HAER_in0131	https://www.loc.gov/item/in0131	Captain Charles L. Shrewsbury House, 301 West First Street (High & Poplar Streets), Madison, Jefferson County, IN	Madison,  Jefferson County,  IN	Jefferson County,  IN	HABS IN-8 ;<br> Building/structure dates: 1846-1849 Initial Construction ;<br> Building/structure dates: after. 1920- before. 1929 Subsequent Work ;<br> Building/structure dates: ca. 1971 Subsequent Work ;<br> Building/structure dates: ca. 1948- ca. 1949 Subsequent Work ;<br> Building/structure dates: 2011 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 94001190	94001190	https://catalog.archives.gov/id/94001190	-85.3828630472818, 38.732774845967
LC_HABS_HAER_in0033	https://www.loc.gov/item/in0033	Jacob Shuh House, 718 West Main Street, Madison, Jefferson County, IN	Madison,  Jefferson County,  IN	Jefferson County,  IN	HABS IN-92 ;<br> Building/structure dates: 1837-1838 Initial Construction ;<br> Building/structure dates: 1926-1927 Subsequent Work ;<br> Building/structure dates: 1901 Subsequent Work ;<br> Building/structure dates: 1978 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 73000020	73000020	https://catalog.archives.gov/id/73000020	-85.38835, 38.738162
LC_HABS_HAER_in0023	https://www.loc.gov/item/in0023	John Eckert House, 510 West Second Street, Madison, Jefferson County, IN	Madison,  Jefferson County,  IN	Jefferson County,  IN	HABS IN-126 ;<br> Building/structure dates: 1872 Initial Construction ;<br> Building/structure dates: ca. 1920 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 73000020	73000020	https://catalog.archives.gov/id/73000020	-85.385411, 38.736276
LC_HABS_HAER_in0025	https://www.loc.gov/item/in0025	First Baptist Church, 416 Vine Street, Madison, Jefferson County, IN	Madison,  Jefferson County,  IN	Jefferson County,  IN	HABS IN-127 ;<br> Building/structure dates: 1853-1860 Initial Construction ;<br> Building/structure dates: 1892-1893 Subsequent Work ;<br> Building/structure dates: 1901 Subsequent Work ;<br> Building/structure dates: 1907 Subsequent Work ;<br> Building/structure dates: 1916 Subsequent Work ;<br> Building/structure dates: 1946-1948 Subsequent Work ;<br> Building/structure dates: 1963-1964 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 73000020	73000020	https://catalog.archives.gov/id/73000020	-85.385377, 38.737985
