done	id	url	title	town	area	description	NRIS_no	nara_cat	long-lat
	LC_HABS_HAER_ut0227		Oak Creek Historic Complex, Firehouse, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-110-M ; Building/structure dates: 1940 Initial Construction ; National Register of Historic Places NRIS Number: 86003706	86003706		wikipedia look up
	LC_HABS_HAER_ut0044		Fort Douglas, Officers' Duplexes, Officers' Circle, Salt Lake City, Salt Lake County, UT	Salt Lake City Salt Lake County UT	Salt Lake County,  UT	HABS UT-67 ; Building/structure dates: ca. 1875 Initial Construction ; National Register of Historic Places NRIS Number: 70000628	70000628		wikipedia look up
	LC_HABS_HAER_ut0043		Fort Douglas, Commander's Residence, Salt Lake City, Salt Lake County, UT	Salt Lake City Salt Lake County UT	Salt Lake County,  UT	HABS UT-68 ; Building/structure dates: ca. 1863 Initial Construction ; National Register of Historic Places NRIS Number: 70000628	70000628		wikipedia look up
	LC_HABS_HAER_ut0184		Salt Lake City Hall, 300 North State Street, Salt Lake City, Salt Lake County, UT	Salt Lake City Salt Lake County UT	Salt Lake County,  UT	HABS UT-74 ; Building/structure dates: 1866 Initial Construction ; National Register of Historic Places NRIS Number: 71000846	71000846		wikipedia look up
	LC_HABS_HAER_ut0164		Keith-Brown House, 529 East South Temple, Salt Lake City, Salt Lake County, UT	Salt Lake City Salt Lake County UT	Salt Lake County,  UT	HABS UT-97 ; National Register of Historic Places NRIS Number: 71000849	71000849		wikipedia look up
	LC_HABS_HAER_ut0201		Keith-Brown Carriage House, 529 East South Temple, Salt Lake City, Salt Lake County, UT	Salt Lake City Salt Lake County UT	Salt Lake County,  UT	HABS UT-97-A ; National Register of Historic Places NRIS Number: 71000849	71000849		wikipedia look up
	LC_HABS_HAER_ut0047		Alfred W. McCune House, 200 North Main Street, Salt Lake City, Salt Lake County, UT	Salt Lake City Salt Lake County UT	Salt Lake County,  UT	HABS UT-87 ; National Register of Historic Places NRIS Number: 74001937	74001937		wikipedia look up
	LC_HABS_HAER_ut0202		Alfred W. McCune Carriage House, 200 North Main Street, Salt Lake City, Salt Lake County, UT	Salt Lake City Salt Lake County UT	Salt Lake County,  UT	HABS UT-87-A ; National Register of Historic Places NRIS Number: 74001937	74001937		wikipedia look up
	LC_HABS_HAER_ut0005		Hampton's Ford Stage Station, State Route 154, Collinston, Box Elder County, UT	Collinston Box Elder County UT	Box Elder County,  UT	HABS UT-42 ; Building/structure dates: ca. 1866 Initial Construction ; National Register of Historic Places NRIS Number: 71000841	71000841		wikipedia look up
	LC_HABS_HAER_ut0065		Manti Temple, Main Street (U.S. Route 89), Manti, Sanpete County, UT	Manti Sanpete County UT	Sanpete County,  UT	HABS UT-71 ; Building/structure dates: 1888 Initial Construction ; National Register of Historic Places NRIS Number: 71000854	71000854		wikipedia look up
	LC_HABS_HAER_ut0288		Wendover Air Force Base, South of Interstate 80, Wendover, Tooele County, UT	Wendover Tooele County UT	Tooele County,  UT	HABS UT-125 ; Building/structure dates:    1941- 1943 Initial Construction ; National Register of Historic Places NRIS Number: 75001827	75001827		wikipedia look up
	LC_HABS_HAER_ut0151		Brigham Young Winter House, 200 North & 100 West Streets, Saint George, Washington County, UT	Saint George Washington County UT	Washington County,  UT	HABS UT-66 ; Building/structure dates: 1874 Initial Construction ; National Register of Historic Places NRIS Number: 71000863	71000863		wikipedia look up
	LC_HABS_HAER_ut0252		Zion Lodge-Birch Creek Historic Complex, Men's Dormitory, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-112-F ; National Register of Historic Places NRIS Number: 86003753	86003753		wikipedia look up
